CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,160,248,2867,5818,413,235
Aragón,204,138,1176,2272,194,165
Asturias,90,55,529,1236,78,65
Baleares,111,42,399,1069,69,85
C. Valenciana,200,339,2189,5508,398,356
Canarias,57,55,483,1262,58,94
Cantabria,35,37,522,1171,71,50
Castilla La Mancha,296,708,3225,6424,566,344
Castilla y León,1028,516,2601,6211,410,325
Cataluña,4966,1672,12974,18773,2616,1652
Ceuta,0,1,3,34,9,3
Extremadura,91,133,371,1628,68,51
Galicia,187,84,1250,4039,316,149
La Rioja,496,85,575,1810,77,51
Madrid,9330,3603,15140,27509,3419,1514
Melilla,0,1,27,54,3,3
Murcia,20,34,283,974,35,59
Navarra,192,113,1035,2305,159,99
País Vasco,1796,325,3594,6320,263,307
ESPAÑA,19259,8189,49243,94417,9222,5607
