CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,463,426,3896,7869,495,364
Aragón,440,251,1505,3078,189,190
Asturias,190,76,766,1522,89,87
Baleares,422,71,634,1271,14,114
C. Valenciana,695,571,1977,6901,277,386
Canarias,123,78,632,1564,74,128
Cantabria,99,68,619,1384,63,60
Castilla La Mancha,657,989,3133,9324,801,360
Castilla y León,2021,786,2664,8332,457,348
Cataluña,8635,2508,17678,24734,1274,2108
Ceuta,2,1,8,73,11,4
Extremadura,205,208,453,1979,86,64
Galicia,531,159,1767,5625,406,178
La Rioja,843,128,805,2405,181,64
Madrid,15362,4723,14741,36249,2061,1498
Melilla,9,2,37,79,9,3
Murcia,113,51,434,1188,43,79
Navarra,311,171,1341,2972,136,120
País Vasco,3098,477,4522,8187,360,377
ESPAÑA,34219,11744,57612,124736,7026,6532
