CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,182,308,3147,6392,574,260
Aragón,257,169,1234,2491,219,168
Asturias,109,63,590,1322,86,76
Baleares,170,46,468,1131,62,95
C. Valenciana,240,395,2189,5922,414,365
Canarias,77,62,532,1380,118,110
Cantabria,43,54,543,1213,42,54
Castilla La Mancha,397,774,3230,7047,623,353
Castilla y León,1259,585,2692,6847,636,345
Cataluña,5701,1849,13969,19991,1218,1769
Ceuta,0,1,6,51,17,3
Extremadura,113,152,372,1679,51,58
Galicia,259,103,1338,4432,393,158
La Rioja,569,90,619,1960,150,54
Madrid,10827,3865,15227,29840,2331,1514
Melilla,0,1,32,62,8,3
Murcia,43,37,304,1041,67,59
Navarra,236,130,1120,2497,192,104
País Vasco,2165,369,3806,6838,518,324
ESPAÑA,22647,9053,51418,102136,7719,5872
