CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,77,134,1626,3406,396,134
Aragón,4,48,562,1116,209,93
Asturias,40,27,300,841,62,34
Baleares,39,17,205,660,98,43
C. Valenciana,57,167,1278,3200,584,230
Canarias,18,24,279,784,127,45
Cantabria,14,17,300,671,161,26
Castilla La Mancha,95,316,2162,3383,603,243
Castilla y León,308,206,1515,3488,548,202
Cataluña,1697,672,7439,11592,1655,1021
Ceuta,0,0,2,10,1,2
Extremadura,24,58,241,969,227,34
Galicia,47,32,503,1915,262,86
La Rioja,48,43,316,995,67,36
Madrid,3882,2090,12440,17166,2569,1221
Melilla,0,1,16,39,1,2
Murcia,9,8,172,596,119,36
Navarra,35,49,649,1411,214,54
País Vasco,621,180,1907,3946,675,137
ESPAÑA,7015,4089,31912,56188,8578,3679
