CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,50,58,865,1960,236,77
Aragón,3,32,298,638,106,52
Asturias,21,12,194,594,49,22
Baleares,18,10,87,400,69,27
C. Valenciana,36,94,702,1901,297,138
Canarias,7,11,172,481,67,32
Cantabria,11,6,157,347,65,14
Castilla La Mancha,51,145,1547,2078,259,142
Castilla y León,117,102,860,2055,311,120
Cataluña,644,245,1681,5925,1220,551
Ceuta,0,0,0,6,1,0
Extremadura,6,18,131,493,109,13
Galicia,19,18,270,1208,293,47
La Rioja,18,22,166,747,93,22
Madrid,2063,1263,9561,10575,873,942
Melilla,0,0,12,28,3,1
Murcia,1,2,80,345,49,23
Navarra,7,24,339,886,92,40
País Vasco,283,120,1252,2421,324,92
ESPAÑA,3355,2182,18374,33088,4516,2355
