CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,258,376,3673,7374,402,338
Aragón,378,224,1431,2889,189,180
Asturias,154,70,702,1433,49,86
Baleares,375,69,587,1257,53,112
C. Valenciana,592,511,2064,6624,316,386
Canarias,102,73,605,1490,46,120
Cantabria,74,64,592,1321,53,59
Castilla La Mancha,579,916,3168,8523,841,355
Castilla y León,1759,723,2711,7875,520,355
Cataluña,7849,2335,17257,23460,1656,2053
Ceuta,2,1,8,62,7,3
Extremadura,164,200,415,1893,56,64
Galicia,435,138,1630,5219,377,178
La Rioja,745,109,738,2224,141,64
Madrid,13850,4483,15050,34188,2033,1506
Melilla,4,2,34,70,8,3
Murcia,90,46,405,1145,61,72
Navarra,294,151,1284,2836,154,119
País Vasco,2809,444,4283,7827,510,363
ESPAÑA,30513,10935,56637,117710,7472,6416
