CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,665,470,4107,8301,432,474
Aragón,537,270,1588,3232,154,233
Asturias,216,80,808,1605,83,90
Baleares,461,75,664,1293,22,120
C. Valenciana,812,613,1901,7184,283,381
Canarias,137,80,644,1622,58,129
Cantabria,113,68,639,1441,57,62
Castilla La Mancha,1149,1055,2950,10031,707,357
Castilla y León,2331,847,2574,8749,417,351
Cataluña,9528,2637,18656,26032,1298,2249
Ceuta,2,2,9,83,10,4
Extremadura,215,218,417,2047,68,66
Galicia,587,174,1831,5944,319,170
La Rioja,904,134,855,2592,187,66
Madrid,16543,4941,14551,37584,1335,1499
Melilla,11,2,38,83,4,3
Murcia,130,59,447,1235,47,80
Navarra,334,178,1399,3073,101,123
País Vasco,3405,515,4666,8628,441,404
ESPAÑA,38080,12418,58744,130759,6023,6861
