CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,148,207,2294,4682,405,201
Aragón,8,93,835,1858,266,124
Asturias,76,41,466,1088,84,57
Baleares,82,29,345,958,96,71
C. Valenciana,161,267,1874,4784,750,309
Canarias,30,39,425,1125,100,78
Cantabria,25,26,449,1023,86,40
Castilla La Mancha,236,539,3018,5246,734,299
Castilla y León,752,380,2408,5414,623,278
Cataluña,3455,1226,10688,15026,763,1391
Ceuta,0,1,2,21,4,2
Extremadura,51,100,313,1456,62,41
Galicia,153,60,1043,3139,367,123
La Rioja,397,68,497,1629,193,43
Madrid,7491,3082,14454,22677,1157,1429
Melilla,0,1,24,48,3,2
Murcia,16,20,260,872,70,58
Navarra,125,84,896,2011,182,90
País Vasco,1503,265,3106,5740,604,271
ESPAÑA,14709,6528,43397,78797,6549,4907
