Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,251,"86 0,3",7,"0,3",,,0,"0,0 0,0"
10-19,445,"78 0,2",3,"0,1",,,1,"0,0 0,2"
20-29,3.662,"557 1,7",30,"1,2",,,6,"0,1 0,2"
30-39,6.997,"1.411 4,3",89,"3,4",,,19,"0,4 0,3"
40-49,10.759,"3.119 9,5",227,"8,8",,,48,"1,1 0,4"
50-59,12.986,"4.947 15,0",453,"17,5",,,133,"2,9 1,0"
60-69,11.927,"6.720 20,4",823,"31,8",,,387,"8,5 3,2"
70-79,11.630,"8.348 25,3",859,"33,2",,,1238,"27,3 10,6"
80-89,9.064,"6.085 18,5",94,"3,6",,,1945,"42,8 21,5"
90 y +,2.963,"1.594 4,8",6,"0,2",,,766,"16,9 25,9"
Total,70.684,32.945 100%,2591,100%,,,4543,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,117,"36 0,3",2,"0,3",,,1,"0,1 0,9"
10-19,228,"40 0,3",1,"0,1",,,1,"0,1 0,4"
20-29,2.279,"275 2,0",11,"1,4",,,1,"0,1 0,0"
30-39,4.113,"657 4,9",31,"4,1",,,8,"0,5 0,2"
40-49,5.849,"1.245 9,2",68,"8,9",,,19,"1,1 0,3"
50-59,6.887,"1.937 14,3",134,"17,6",,,43,"2,5 0,6"
60-69,5.449,"2.640 19,6",224,"29,4",,,115,"6,7 2,1"
70-79,4.742,"3.172 23,5",239,"31,3",,,352,"20,4 7,4"
80-89,4.397,"2.632 19,5",51,"6,7",,,777,"45,1 17,7"
90 y +,1.824,"868 6,4",2,"0,3",,,405,"23,5 22,2"
Total,35.885,13.502 100%,763,100%,,,1.722,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,134,"50 0,3",5,"0,3",,,0,"0,0 0,0"
10-19,217,"38 0,2",2,"0,1",,,0,"0,0 0,0"
20-29,1.380,"280 1,4",19,"1,0",,,5,"0,2 0,4"
30-39,2.884,"754 3,9",58,"3,2",,,12,"0,4 0,4"
40-49,4.909,"1.874 9,6",159,"8,6",,,32,"1,1 0,7"
50-59,6.098,"3.010 15,5",319,"17,3",,,96,"3,2 1,6"
60-69,6.475,"4.078 21,0",599,"32,5",,,284,"9,5 4,4"
70-79,6.886,"5.174 26,6",620,"33,7",,,930,"31,2 13,5"
80-89,4.667,"3.453 17,8",56,"3,0",,,1237,"41,5 26,5"
90 y +,1.139,"726 3,7",4,"0,2",,,386,"12,9 33,9"
Total,34.789,19.437 100%,1.841,100%,,,2.982,100%
