Grupo de,Unnamed: 0,Unnamed: 1,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,175,"44 0,3",1,,"0,1",,0,"0,0 0,0"
10-19,302,"30 0,2",1,,"0,1",,1,"0,1 0,3"
20-29,1.932,"282 2,1",15,,"1,3",,4,"0,3 0,2"
30-39,3.454,"631 4,7",39,,"3,4",,7,"0,5 0,2"
40-49,5.045,"1.273 9,5",94,,"8,3",,19,"1,4 0,4"
50-59,5.749,"1.922 14,3",187,,"16,5",,35,"2,6 0,6"
60-69,5.397,"2.634 19,6",333,,"29,4",,114,"8,6 2,1"
70-79,5.377,"3.378 25,2",404,,"35,7",,303,"22,9 5,6"
80-89,4.080,"2.527 18,8",52,,"4,6",,594,"44,8 14,6"
90 y +,1.305,"704 5,2",5,,"0,4",,249,"18,8 19,1"
Total,32.816,13.425 100%,1131,,100%,,1326,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Mujeres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,80,"19 0,3",0,,"0,0",,0,"0,0 0,0"
10-19,167,"21 0,4",1,,"0,3",,1,"0,2 0,6"
20-29,1.139,"144 2,6",7,,"2,2",,0,"0,0 0,0"
30-39,1.967,"294 5,3",13,,"4,0",,4,"0,8 0,2"
40-49,2.690,"528 9,6",30,,"9,3",,10,"2,0 0,4"
50-59,3.032,"775 14,1",53,,"16,4",,7,"1,4 0,2"
60-69,2.516,"1.087 19,7",100,,"31,0",,41,"8,2 1,6"
70-79,2.152,"1.224 22,2",97,,"30,0",,84,"16,9 3,9"
80-89,1.843,"1.045 19,0",22,,"6,8",,230,"46,2 12,5"
90 y +,777,"375 6,8",0,,"0,0",,121,"24,3 15,6"
Total,16.363,5.512 100%,323,,100%,,498,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Hombres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,95,"26 0,3",1,,"0,1",,0,"0,0 0,0"
10-19,135,"12 0,2",0,,"0,0",,0,"0,0 0,0"
20-29,790,"155 2,0",8,,"1,0",,4,"0,5 0,5"
30-39,1.487,"347 4,4",26,,"3,2",,3,"0,4 0,2"
40-49,2.355,"765 9,6",64,,"7,9",,9,"1,1 0,4"
50-59,2.715,"1.160 14,6",133,,"16,5",,28,"3,4 1,0"
60-69,2.879,"1.546 19,5",233,,"28,9",,73,"8,8 2,5"
70-79,3.223,"2.139 26,9",307,,"38,0",,219,"26,4 6,8"
80-89,2.237,"1.473 18,5",30,,"3,7",,364,"44,0 16,3"
90 y +,528,"324 4,1",5,,"0,6",,128,"15,5 24,2"
Total,16.444,7.947 100%,807,,100%,,828,100%
