Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,234,"74 0,3",4,"0,2",,,1,"0,0 0,4"
10-19,393,"53 0,2",2,"0,1",,,1,"0,0 0,3"
20-29,3.016,"474 1,9",22,"1,2",,,6,"0,2 0,2"
30-39,5.656,"1.163 4,6",66,"3,6",,,13,"0,4 0,2"
40-49,8.493,"2.442 9,7",149,"8,1",,,43,"1,3 0,5"
50-59,10.108,"3.744 14,9",303,"16,5",,,99,"3,0 1,0"
60-69,9.396,"5.023 20,0",570,"31,1",,,295,"8,8 3,1"
70-79,9.295,"6.405 25,5",643,"35,1",,,914,"27,4 9,8"
80-89,6.859,"4.576 18,2",71,"3,9",,,1442,"43,2 21,0"
90 y +,2.034,"1.138 4,5",3,"0,2",,,523,"15,7 25,7"
Total,55.484,25.092 100%,1833,100%,,,3337,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,119,"35 0,3",1,"0,2",,,1,"0,1 0,8"
10-19,208,"29 0,3",0,"0,0",,,1,"0,1 0,5"
20-29,1.808,"229 2,2",10,"1,5",,,0,"0,0 0,0"
30-39,3.237,"540 5,2",30,"4,5",,,6,"0,5 0,2"
40-49,4.539,"985 9,6",51,"7,7",,,18,"1,5 0,4"
50-59,5.295,"1.472 14,3",109,"16,4",,,27,"2,2 0,5"
60-69,4.329,"2.037 19,7",214,"32,2",,,96,"7,8 2,2"
70-79,3.800,"2.446 23,7",207,"31,1",,,261,"21,1 6,9"
80-89,3.148,"1.933 18,7",43,"6,5",,,568,"45,9 18,0"
90 y +,1.199,"608 5,9",0,"0,0",,,259,"20,9 21,6"
Total,27.682,10.314 100%,665,100%,,,1.237,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,115,"39 0,3",3,"0,3",,,0,"0,0 0,0"
10-19,185,"24 0,2",2,"0,2",,,0,"0,0 0,0"
20-29,1.204,"243 1,6",12,"1,0",,,6,"0,3 0,5"
30-39,2.419,"623 4,2",36,"3,1",,,7,"0,3 0,3"
40-49,3.952,"1.455 9,9",97,"8,2",,,25,"1,2 0,6"
50-59,4.810,"2.271 15,4",193,"16,4",,,72,"3,4 1,5"
60-69,5.064,"2.985 20,2",356,"30,2",,,202,"9,6 4,0"
70-79,5.494,"3.956 26,8",436,"37,0",,,653,"31,1 11,9"
80-89,3.710,"2.642 17,9",41,"3,5",,,874,"41,6 23,6"
90 y +,835,"530 3,6",3,"0,3",,,264,"12,6 31,6"
Total,27.788,14.768 100%,1.179,100%,,,2.103,100%
