Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Total,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,186,"49 0,3 1","0,1",,,0,"0,0 0,0"
10-19,317,"35 0,2 1","0,1",,,1,"0,1 0,3"
20-29,2.088,"310 2,1 18","1,3",,,4,"0,3 0,2"
30-39,3.774,"697 4,6 41","3,1",,,7,"0,5 0,2"
40-49,5.551,"1.460 9,7 108","8,1",,,19,"1,3 0,3"
50-59,6.424,"2.201 14,6 227","17,0",,,37,"2,6 0,6"
60-69,5.980,"2.999 19,9 392","29,3",,,123,"8,5 2,1"
70-79,5.923,"3.790 25,1 490","36,6",,,343,"23,8 5,8"
80-89,4.497,"2.791 18,5 56","4,2",,,642,"44,5 14,3"
90 y +,1.465,"766 5,1 5","0,4",,,266,"18,4 18,2"
Total,36.205,15.098 100% 1339,100%,,,1442,100%
,,,,,,,
,,,,,,,
Grupo de,,,,,,,
,,Mujeres,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,83,"19 0,3 0","0,0",,,0,"0,0 0,0"
10-19,174,"20 0,3 1","0,3",,,1,"0,2 0,6"
20-29,1.228,"140 2,3 8","2,1",,,0,"0,0 0,0"
30-39,2.148,"314 5,1 13","3,4",,,4,"0,7 0,2"
40-49,2.973,"580 9,4 32","8,4",,,10,"1,8 0,3"
50-59,3.368,"869 14,0 67","17,7",,,8,"1,5 0,2"
60-69,2.790,"1.238 20,0 110","29,0",,,45,"8,2 1,6"
70-79,2.396,"1.416 22,9 125","33,0",,,95,"17,3 4,0"
80-89,2.076,"1.181 19,1 23","6,1",,,258,"46,9 12,4"
90 y +,891,"416 6,7 0","0,0",,,129,"23,5 14,5"
Total,18.127,6.193 100% 379,100%,,,550,100%
,,,,,,,
Grupo de,,,,,,,
,,Hombres,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,103,"30 0,3 1","0,1",,,0,"0,0 0,0"
10-19,143,"15 0,2 0","0,0",,,0,"0,0 0,0"
20-29,857,"168 1,9 10","1,0",,,4,"0,4 0,5"
30-39,1.626,"383 4,3 28","2,9",,,3,"0,3 0,2"
40-49,2.578,"880 9,9 76","7,9",,,9,"1,0 0,3"
50-59,3.054,"1.331 15,0 159","16,6",,,29,"3,3 0,9"
60-69,3.187,"1.760 19,8 282","29,4",,,78,"8,7 2,4"
70-79,3.527,"2.372 26,7 365","38,1",,,248,"27,8 7,0"
80-89,2.421,"1.610 18,1 33","3,4",,,384,"43,0 15,9"
90 y +,574,"350 3,9 5","0,5",,,137,"15,4 23,9"
Total,18.070,8.899 100% 959,100%,,,892,100%
