Grupo de,Unnamed: 0,Unnamed: 1,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,134,"40 0,5",1,,"0,1",,0,"0,0 0,0"
10-19,230,"22 0,3",2,,"0,3",,1,"0,1 0,4"
20-29,1.422,"217 2,6",12,,"1,5",,4,"0,4 0,3"
30-39,2.511,"448 5,4",23,,"2,9",,5,"0,5 0,2"
40-49,3.383,"840 10,0",59,,"7,5",,10,"1,1 0,3"
50-59,3.698,"1.170 14,0",133,,"17,0",,22,"2,4 0,6"
60-69,3.403,"1.551 18,6",215,,"27,5",,79,"8,6 2,3"
70-79,3.555,"2.049 24,5",248,,"31,7",,191,"20,8 5,4"
80-89,2.736,"1.590 19,0",70,,"9,0",,428,"46,6 15,6"
90 y +,800,"434 5,2",19,,"2,4",,178,"19,4 22,3"
Total,21.872,8.361 100%,782,,100%,,918,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Mujeres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,67,"16 0,5",0,,"0,0",,0,"0,0 0,0"
10-19,133,"16 0,5",1,,"0,6",,1,"0,3 0,8"
20-29,803,"99 2,9",5,,"2,9",,1,"0,3 0,1"
30-39,1.424,"223 6,5",7,,"4,0",,3,"0,9 0,2"
40-49,1.759,"320 9,4",12,,"6,9",,3,"0,9 0,2"
50-59,1.910,"457 13,4",31,,"17,7",,7,"2,1 0,4"
60-69,1.561,"652 19,1",54,,"30,9",,20,"6,0 1,3"
70-79,1.395,"745 21,9",48,,"27,4",,48,"14,5 3,4"
80-89,1.176,"655 19,2",17,,"9,7",,159,"48,0 13,5"
90 y +,448,"222 6,5",0,,"0,0",,89,"26,9 19,9"
Total,10.676,3.405 100%,175,,100%,,331,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Hombres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,66,"24 0,5",1,,"0,2",,0,"0,0 0,0"
10-19,94,"6 0,1",0,,"0,0",,0,"0,0 0,0"
20-29,617,"116 2,3",5,,"1,1",,3,"0,5 0,5"
30-39,1.086,"226 4,5",11,,"2,5",,2,"0,3 0,2"
40-49,1.618,"519 10,4",36,,"8,2",,7,"1,2 0,4"
50-59,1.785,"715 14,3",81,,"18,5",,15,"2,6 0,8"
60-69,1.839,"913 18,3",119,,"27,2",,59,"10,1 3,2"
70-79,2.158,"1.313 26,3",161,,"36,8",,143,"24,4 6,6"
80-89,1.560,"945 18,9",19,,"4,3",,269,"45,8 17,2"
90 y +,352,"219 4,4",4,,"0,9",,89,"15,2 25,3"
Total,11.175,4.996 100%,437,,100%,,587,100%
