Grupo de,Unnamed: 0,Unnamed: 1,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,129,"34 0,5",1,,"0,21",,0,0 0
10-19,221,"15 0,22",0,,0,,1,"0,12 0,45"
20-29,1285,"183 2,69",8,,"1,65",,4,"0,5 0,31"
30-39,2208,"365 5,36",15,,"3,1",,3,"0,37 0,14"
40-49,2919,"663 9,73",40,,"8,26",,9,"1,12 0,31"
50-59,3129,"936 13,74",89,,"18,39",,20,"2,48 0,64"
60-69,2916,"1230 18,05",132,,"27,27",,63,"7,83 2,16"
70-79,3132,"1678 24,63",165,,"34,09",,164,"20,37 5,24"
80 y +,3020,"1710 25,1",34,,"7,02",,541,"67,2 17,91"
Total,18959,6814 100%,484,,"99,99",,805,100%
,,,,,,,,
Grupo de,,Mujeres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,64,"15 0,5",0,,0,,0,0 0
10-19,123,"10 0,3",0,,0,,1,"0,3 0,8"
20-29,724,"78 2,6",4,,"2,6",,1,"0,3 0,1"
30-39,1.258,"192 6,5",7,,"4,6",,1,"0,3 0,1"
40-49,1.487,"262 8,8",10,,"6,6",,3,"1 0,2"
50-59,1.603,"377 12,7",26,,"17,2",,7,"2,4 0,4"
60-69,1.338,"528 17,7",49,,"32,5",,15,"5,2 1,1"
70-79,1.237,"607 20,4",39,,"25,8",,42,"14,6 3,4"
80 y +,1.348,"726 24,4",16,,"10,6",,217,"75,6 16,1"
Total,9.182,2.795 100,151,,100,,287,100
,,,,,,,,
Grupo de,,Hombres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,65,"19 0,4",1,,"0,3",,0,0 0
10-19,98,"6 0,1",0,,0,,0,0 0
20-29,559,"104 2,4",4,,"1,1",,3,"0,6 0,5"
30-39,949,"187 4,3",8,,"2,3",,2,"0,4 0,2"
40-49,1.428,"414 9,5",30,,"8,5",,6,"1,2 0,4"
50-59,1.520,"583 13,4",66,,"18,7",,13,"2,5 0,9"
60-69,1.557,"738 16,9",90,,"25,5",,48,"9,3 3,1"
70-79,1.894,"1.110 25,5",129,,"36,5",,122,"23,6 6,4"
80 y +,1.666,"1.006 23,1",21,,"5,9",,324,"62,5 19,4"
Total,9.736,4.167 100,349,,100,,518,100
