Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,286,"107 0,2",15,"0,4",,,2,"0,0 0,7"
10-19,486,"99 0,2",4,"0,1",,,1,"0,0 0,2"
20-29,4.575,"750 1,7",43,"1,2",,,9,"0,1 0,2"
30-39,8.663,"1.942 4,5",125,"3,6",,,25,"0,4 0,3"
40-49,13.300,"4.269 9,8",326,"9,4",,,65,"1,0 0,5"
50-59,16.455,"6.800 15,7",640,"18,4",,,184,"2,9 1,1"
60-69,14.847,"8.833 20,4",1089,"31,4",,,571,"9,0 3,8"
70-79,14.217,"10.796 24,9",1106,"31,8",,,1808,"28,6 12,7"
80-89,11.119,"7.807 18,0",113,"3,3",,,2690,"42,5 24,2"
90 y +,3.589,"1.968 4,5",12,"0,3",,,976,"15,4 27,2"
Total,87.537,43.371 100%,3473,100%,,,6331,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,131,"42 0,2",3,"0,3",,,1,"0,0 0,8"
10-19,258,"53 0,3",1,"0,1",,,1,"0,0 0,4"
20-29,2.889,"370 2,1",16,"1,6",,,2,"0,1 0,1"
30-39,5.131,"899 5,0",44,"4,3",,,10,"0,4 0,2"
40-49,7.178,"1.686 9,4",94,"9,2",,,28,"1,2 0,4"
50-59,8.715,"2.680 15,0",185,"18,0",,,59,"2,5 0,7"
60-69,6.790,"3.479 19,5",315,"30,7",,,169,"7,3 2,5"
70-79,5.820,"4.184 23,4",306,"29,9",,,509,"21,9 8,7"
80-89,5.424,"3.410 19,1",57,"5,6",,,1033,"44,4 19,0"
90 y +,2.221,"1.083 6,1",4,"0,4",,,517,"22,2 23,3"
Total,44.557,17.886 100%,1.025,100%,,,2.329,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,155,"65 0,3",12,"0,5",,,1,"0,0 0,6"
10-19,228,"46 0,2",3,"0,1",,,0,"0,0 0,0"
20-29,1.683,"378 1,5",27,"1,1",,,7,"0,2 0,4"
30-39,3.532,"1.043 4,1",81,"3,3",,,16,"0,4 0,5"
40-49,6.122,"2.583 10,1",232,"9,4",,,38,"0,9 0,6"
50-59,7.739,"4.120 16,2",455,"18,5",,,125,"3,1 1,6"
60-69,8.053,"5.351 21,0",774,"31,5",,,402,"10,0 5,0"
70-79,8.397,"6.612 25,9",800,"32,5",,,1301,"32,5 15,5"
80-89,5.695,"4.397 17,3",69,"2,8",,,1659,"41,4 29,1"
90 y +,1.368,"885 3,5",8,"0,3",,,459,"11,5 33,6"
Total,42.972,25.480 100%,2.461,100%,,,4.008,100%
