Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,250,"79 0,2",7,"0,2",,,1,"0,0 0,4"
10-19,491,"105 0,2",6,"0,2",,,1,"0,0 0,2"
20-29,4.629,"795 1,8",53,"1,5",,,6,"0,1 0,1"
30-39,8.761,"2.019 4,6",136,"3,9",,,20,"0,4 0,2"
40-49,13.421,"4.340 10,0",340,"9,7",,,50,"1,0 0,4"
50-59,16.577,"6.840 15,7",643,"18,4",,,147,"3,0 0,9"
60-69,14.933,"8.825 20,3",1080,"31,0",,,419,"8,5 2,8"
70-79,14.300,"10.769 24,7",1094,"31,4",,,1341,"27,2 9,4"
80-89,11.196,"7.790 17,9",115,"3,3",,,2121,"42,9 18,9"
90 y +,3.632,"1.981 4,5",15,"0,4",,,833,"16,9 22,9"
Total,88.190,43.543 100%,3489,100%,,,4939,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,123,"35 0,2",2,"0,2",,,1,"0,1 0,8"
10-19,265,"58 0,3",2,"0,2",,,1,"0,1 0,4"
20-29,2.911,"391 2,2",21,"2,0",,,1,"0,1 0,0"
30-39,5.153,"924 5,1",45,"4,4",,,8,"0,4 0,2"
40-49,7.248,"1.719 9,6",101,"9,8",,,19,"1,1 0,3"
50-59,8.788,"2.708 15,1",185,"17,9",,,45,"2,5 0,5"
60-69,6.833,"3.484 19,4",315,"30,5",,,119,"6,6 1,7"
70-79,5.887,"4.178 23,2",302,"29,2",,,364,"20,1 6,2"
80-89,5.469,"3.397 18,9",55,"5,3",,,821,"45,4 15,0"
90 y +,2.248,"1.087 6,0",6,"0,6",,,430,"23,8 19,1"
Total,44.925,17.981 100%,1.034,100%,,,1.809,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,127,"44 0,2",5,"0,2",,,0,"0,0 0,0"
10-19,226,"47 0,2",4,"0,2",,,0,"0,0 0,0"
20-29,1.713,"401 1,6",32,"1,3",,,5,"0,2 0,3"
30-39,3.607,"1.095 4,3",91,"3,7",,,12,"0,4 0,3"
40-49,6.171,"2.620 10,3",239,"9,7",,,31,"1,0 0,5"
50-59,7.787,"4.132 16,2",458,"18,6",,,102,"3,3 1,3"
60-69,8.096,"5.338 20,9",765,"31,0",,,300,"9,6 3,7"
70-79,8.410,"6.591 25,8",792,"32,1",,,977,"31,2 11,6"
80-89,5.726,"4.392 17,2",73,"3,0",,,1300,"41,5 22,7"
90 y +,1.384,"894 3,5",9,"0,4",,,403,"12,9 29,1"
Total,43.247,25.554 100%,2.468,100%,,,3.130,100%
