Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,234,"74 0,3",4,"0,2",,,1,"0,0 0,4"
10-19,398,"53 0,2",2,"0,1",,,1,"0,0 0,3"
20-29,3.039,"477 1,9",22,"1,2",,,6,"0,2 0,2"
30-39,5.686,"1.171 4,6",67,"3,5",,,14,"0,4 0,2"
40-49,8.579,"2.463 9,7",158,"8,3",,,44,"1,3 0,5"
50-59,10.206,"3.795 15,0",318,"16,7",,,101,"3,0 1,0"
60-69,9.516,"5.078 20,0",586,"30,7",,,301,"8,9 3,2"
70-79,9.442,"6.481 25,5",672,"35,2",,,929,"27,4 9,8"
80-89,6.950,"4.623 18,2",75,"3,9",,,1461,"43,0 21,0"
90 y +,2.063,"1.152 4,5",3,"0,2",,,538,"15,8 26,1"
Total,56.113,25.367 100%,1907,100%,,,3396,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,114,"33 0,3",1,"0,1",,,1,"0,1 0,9"
10-19,211,"29 0,3",0,"0,0",,,1,"0,1 0,5"
20-29,1.840,"232 2,2",10,"1,5",,,0,"0,0 0,0"
30-39,3.275,"540 5,2",30,"4,4",,,7,"0,6 0,2"
40-49,4.593,"979 9,4",52,"7,6",,,18,"1,4 0,4"
50-59,5.337,"1.485 14,3",115,"16,9",,,29,"2,3 0,5"
60-69,4.369,"2.037 19,6",215,"31,6",,,97,"7,7 2,2"
70-79,3.841,"2.466 23,8",214,"31,4",,,265,"21,0 6,9"
80-89,3.240,"1.957 18,9",44,"6,5",,,579,"45,9 17,9"
90 y +,1.230,"616 5,9",0,"0,0",,,264,"20,9 21,5"
Total,28.050,10.374 100%,681,100%,,,1.261,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,120,"41 0,3",3,"0,2",,,0,"0,0 0,0"
10-19,187,"24 0,2",2,"0,2",,,0,"0,0 0,0"
20-29,1.195,"243 1,6",12,"1,0",,,6,"0,3 0,5"
30-39,2.411,"631 4,2",37,"3,0",,,7,"0,3 0,3"
40-49,3.984,"1.482 9,9",106,"8,6",,,26,"1,2 0,7"
50-59,4.867,"2.309 15,4",203,"16,4",,,72,"3,4 1,5"
60-69,5.142,"3.038 20,3",370,"29,9",,,204,"9,6 4,0"
70-79,5.599,"4.011 26,8",457,"36,9",,,664,"31,1 11,9"
80-89,3.709,"2.666 17,8",44,"3,6",,,882,"41,3 23,8"
90 y +,833,"536 3,6",3,"0,2",,,274,"12,8 32,9"
Total,28.047,14.981 100%,1.237,100%,,,2.135,100%
